Mini-Loihi V7.1C production lint
tool=C:\tool\oss-cad-suite\bin\verilator_bin.exe
fallback_used=True
v7_0 PASS diagnostics=110
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:421:86: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:422:88: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:423:72: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:429:29: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:430:49: Operator ADD expects 32 or 5 bits on the RHS, but RHS's VARREF 'neuron_feed_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:438:75: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:439:60: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:530:25: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'lookup_tail' generates 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:538:47: Bit extraction of array[0:0] requires 1 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:539:46: Bit extraction of array[0:0] requires 1 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:540:27: Bit extraction of array[0:0] requires 1 bit index, not 8 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:543:25: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'work_tail' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:549:25: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'lookup_head' generates 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:565:64: Bit extraction of array[1:0] requires 1 bit index, not 13 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:571:62: Operator ADD expects 32 bits on the RHS, but RHS's VARREF 'issue_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:576:66: Bit extraction of array[1:0] requires 1 bit index, not 13 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:584:25: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'work_head' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:590:56: Operator ADD expects 13 bits on the RHS, but RHS's VARREF 'issue_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:601:29: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:602:31: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:605:21: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:627:34: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'neuron_work_tail' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:634:50: Operator ADD expects 32 bits on the LHS, but LHS's VARREF 'neuron_work_tail' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:634:50: Operator ADD expects 32 bits on the RHS, but RHS's VARREF 'neuron_feed_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:634:30: Operator ASSIGNDLY expects 3 bits on the Assign RHS, but Assign RHS's SUB generates 32 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:633:32: Operator ADD expects 32 bits on the LHS, but LHS's VARREF 'neuron_work_tail' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:633:32: Operator ADD expects 32 bits on the RHS, but RHS's VARREF 'neuron_feed_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:640:28: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:641:34: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:642:25: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:643:30: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:644:28: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:645:44: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:646:41: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:647:32: Operator EQ expects 32 bits on the LHS, but LHS's VARREF 'neuron_work_head' generates 3 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:656:57: Operator ADD expects 4 bits on the RHS, but RHS's VARREF 'neuron_feed_count' generates 2 bits.
  WIDTHEXPAND | width/sign portability | allowed=True | %Warning-WIDTHEXPAND: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:658:57: Operator ADD expects 4 bits on the RHS, but RHS's VARREF 'neuron_feed_count' generates 2 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:664:26: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:665:42: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:665:27: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:666:30: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:667:46: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:667:31: Bit extraction of array[2:0] requires 2 bit index, not 8 bits.
  WIDTHTRUNC | width/sign portability | allowed=True | %Warning-WIDTHTRUNC: C:\Users\灵耀14air\Documents\info os\rtl\core\mini_loihi_core.sv:668:44: Bit extraction of array[3:0] requires 2 bit index, not 3 bits.
